id,tokens,pos_tags,chunk_tags,ner_tags
19,"['It' 'brought' 'in' '4,275' 'tonnes' 'of' 'British' 'mutton' ',' 'some'
 '10' 'percent' 'of' 'overall' 'imports' '.']",[28 38 15 11 24 15 16 21  6 12 11 21 15 16 24  7],[11 21 13 11 12 13 11 12  0 11 12 12 13 11 12  0],[0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0]
20,"['Rare' 'Hendrix' 'song' 'draft' 'sells' 'for' 'almost' '$' '17,000' '.']",[22 22 21 21 42 15 30  3 11  7],[11 12 12 12 21 13 11 12 12  0],[0 1 0 0 0 0 0 0 0 0]
21,['LONDON' '1996-08-22'],[22 11],[11 12],[5 0]
22,"['A' 'rare' 'early' 'handwritten' 'draft' 'of' 'a' 'song' 'by' 'U.S.'
 'guitar' 'legend' 'Jimi' 'Hendrix' 'was' 'sold' 'for' 'almost' '$'
 '17,000' 'on' 'Thursday' 'at' 'an' 'auction' 'of' 'some' 'of' 'the'
 'late' 'musician' ""'s"" 'favourite' 'possessions' '.']","[12 16 16 16 21 15 12 21 15 22 21 21 22 22 38 40 15 30  3 11 15 22 15 12
 21 15 12 15 12 16 21 27 16 24  7]","[11 12 12 12 12 13 11 12 13 11 12 12 12 12 21 22 13 11 12 12 13 11 13 11
 12 13 11 13 11 12 12 11 12 12  0]",[0 0 0 0 0 0 0 0 0 5 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
23,"['A' 'Florida' 'restaurant' 'paid' '10,925' 'pounds' '(' '$' '16,935' ')'
 'for' 'the' 'draft' 'of' '""' 'Ai' ""n't"" 'no' 'telling' '""' ',' 'which'
 'Hendrix' 'penned' 'on' 'a' 'piece' 'of' 'London' 'hotel' 'stationery'
 'in' 'late' '1966' '.']","[12 22 21 38 11 24  4  3 11  5 15 12 21 15  0 42 30 12 39  0  6 43 22 40
 15 12 21 15 22 21 21 15 16 11  7]","[11 12 12 21 11 12  0 11 12  0 13 11 12 13  0 21  0 11 21  0  0 11 11 21
 13 11 12 13 11 12 12 13 11 12  0]",[0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 8 8 0 0 0 1 0 0 0 0 0 5 0 0 0 0 0 0]
24,"['At' 'the' 'end' 'of' 'a' 'January' '1967' 'concert' 'in' 'the' 'English'
 'city' 'of' 'Nottingham' 'he' 'threw' 'the' 'sheet' 'of' 'paper' 'into'
 'the' 'audience' ',' 'where' 'it' 'was' 'retrieved' 'by' 'a' 'fan' '.']","[15 12 21 15 12 22 11 21 15 12 16 21 15 22 28 38 12 21 15 21 15 12 21  6
 46 28 38 40 15 12 21  7]","[13 11 12 13 11 12 12 12 13 11 12 12 13 11 11 21 11 12 13 11 13 11 12  0
  3 11 21 22 13 11 12  0]",[0 0 0 0 0 0 0 0 0 0 7 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
25,"['Buyers' 'also' 'snapped' 'up' '16' 'other' 'items' 'that' 'were' 'put'
 'up' 'for' 'auction' 'by' 'Hendrix' ""'s"" 'former' 'girlfriend' 'Kathy'
 'Etchingham' ',' 'who' 'lived' 'with' 'him' 'from' '1966' 'to' '1969' '.']","[24 30 38 30 11 16 24 43 38 40 33 15 21 15 22 27 16 21 22 22  6 44 38 15
 28 15 11 35 11  7]","[11  3 21  3 11 12 12 11 21 22 15 13 11 13 11 11 12 12 12 12  0 11 21 13
 11 13 11 13 11  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0]
26,"['They' 'included' 'a' 'black' 'lacquer' 'and' 'mother' 'of' 'pearl'
 'inlaid' 'box' 'used' 'by' 'Hendrix' 'to' 'store' 'his' 'drugs' ','
 'which' 'an' 'anonymous' 'Australian' 'purchaser' 'bought' 'for' '5,060'
 'pounds' '(' '$' '7,845' ')' '.']","[28 38 12 16 21 10 21 15 21 38 21 40 15 22 35 37 29 24  6 43 12 16 16 21
 38 15 11 24  4  3 11  5  7]","[11 21 11 12 12 12 12 13 11 21 11 21 13 11 21 22 11 12  0 11 11 12 12 12
 21 13 11 12  0 11 12  0  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0]
27,"['The' 'guitarist' 'died' 'of' 'a' 'drugs' 'overdose' 'in' '1970' 'aged'
 '27' '.']",[12 21 38 15 12 24 21 15 11 40 11  7],[11 12 21 13 11 12 12 13 11  1 11  0],[0 0 0 0 0 0 0 0 0 0 0 0]
28,['China' 'says' 'Taiwan' 'spoils' 'atmosphere' 'for' 'talks' '.'],[22 42 22 42 21 15 24  7],[11 21 11 21 11 13 11  0],[5 0 5 0 0 0 0 0]
29,['BEIJING' '1996-08-22'],[39 11],[21 11],[5 0]
30,"['China' 'on' 'Thursday' 'accused' 'Taipei' 'of' 'spoiling' 'the'
 'atmosphere' 'for' 'a' 'resumption' 'of' 'talks' 'across' 'the' 'Taiwan'
 'Strait' 'with' 'a' 'visit' 'to' 'Ukraine' 'by' 'Taiwanese' 'Vice'
 'President' 'Lien' 'Chan' 'this' 'week' 'that' 'infuriated' 'Beijing' '.']","[22 15 22 38 22 15 39 12 21 15 12 21 15 24 15 12 22 22 15 12 21 35 22 15
 22 22 22 22 22 12 21 43 38 22  7]","[11 13 11 21 11 13 21 11 12 13 11 12 13 11 13 11 12 12 13 11 12 13 11 13
 11 12 12 12 12 11 12 11 21 11  0]",[5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 6 0 0 0 0 5 0 7 0 0 1 2 0 0 0 0 5 0]
31,"['Speaking' 'only' 'hours' 'after' 'Chinese' 'state' 'media' 'said' 'the'
 'time' 'was' 'right' 'to' 'engage' 'in' 'political' 'talks' 'with'
 'Taiwan' ',' 'Foreign' 'Ministry' 'spokesman' 'Shen' 'Guofang' 'told'
 'Reuters' ':' '""' 'The' 'necessary' 'atmosphere' 'for' 'the' 'opening'
 'of' 'the' 'talks' 'has' 'been' 'disrupted' 'by' 'the' 'Taiwan'
 'authorities' '.' '""']","[39 16 24 15 16 21 24 38 12 21 38 30 35 37 15 16 24 15 22  6 22 22 21 22
 22 38 22  8  0 12 16 21 15 12 21 15 12 24 42 40 40 15 12 22 24  7  0]","[21  3 11 13 11 12 12 21 11 12 21  1 21 22 13 11 12 13 11  0 11 12 12 12
 12 21 11  0  0 11 12 12 13 11 12 13 11 12 21 22 22 13 11 12 12  0  0]","[0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 4 0 1 2 0 3 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 5 0 0 0]"
32,"['State' 'media' 'quoted' 'China' ""'s"" 'top' 'negotiator' 'with' 'Taipei'
 ',' 'Tang' 'Shubei' ',' 'as' 'telling' 'a' 'visiting' 'group' 'from'
 'Taiwan' 'on' 'Wednesday' 'that' 'it' 'was' 'time' 'for' 'the' 'rivals'
 'to' 'hold' 'political' 'talks' '.']","[21 24 38 22 27 16 21 15 22  6 22 22  6 15 39 12 16 21 15 22 15 22 15 28
 38 21 15 12 24 35 37 16 24  7]","[11 12 21 11 11 12 12 13 11  0 11 12  0 13 21 11 12 12 13 11 13 11 17 11
 21 11 13 11 12 21 22 11 12  0]",[0 0 0 5 0 0 0 0 5 0 1 2 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
33,"['""' 'Now' 'is' 'the' 'time' 'for' 'the' 'two' 'sides' 'to' 'engage' 'in'
 'political' 'talks' '...']",[ 0 30 42 12 21 15 12 11 24 35 37 15 16 24  8],[ 0  3 21 11 12 13 11 12 12 21 22 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
34,"['that' 'is' 'to' 'end' 'the' 'state' 'of' 'hostility' ',' '""' 'Thursday'
 ""'s"" 'overseas' 'edition' 'of' 'the' 'People' ""'s"" 'Daily' 'quoted'
 'Tang' 'as' 'saying' '.']",[43 42 35 37 12 21 15 21  6  0 22 27 16 21 15 12 23 27 16 40 22 15 39  7],[11 21 21 22 11 12 13 11  0  0 11 11 12 12 13 11 12 11 12 21 11 13 21  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 0 1 0 0 0]
35,"['The' 'foreign' 'ministry' ""'s"" 'Shen' 'told' 'Reuters' 'Television' 'in'
 'an' 'interview' 'he' 'had' 'read' 'reports' 'of' 'Tang' ""'s"" 'comments'
 'but' 'gave' 'no' 'details' 'of' 'why' 'the' 'negotiator' 'had'
 'considered' 'the' 'time' 'right' 'for' 'talks' 'with' 'Taiwan' ','
 'which' 'Beijing' 'considers' 'a' 'renegade' 'province' '.']","[12 16 21 27 22 38 22 22 15 12 21 28 38 40 24 15 22 27 24 10 38 12 24 15
 46 12 21 38 40 12 21 30 15 24 15 22  6 43 22 42 12 21 21  7]","[11 12 12 11 12 21 11 12 13 11 12 11 21 22 11 13 11 11 12  0 21 11 12 13
  3 11 12 21 22 11 12  3 13 11 13 11  0 11 11 21 11 12 12  0]","[0 0 0 0 3 0 3 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
 0 5 0 0 0 0 0]"
36,"['China' ',' 'which' 'has' 'long' 'opposed' 'all' 'Taipei' 'efforts' 'to'
 'gain' 'greater' 'international' 'recognition' ',' 'was' 'infuriated'
 'by' 'a' 'visit' 'to' 'Ukraine' 'this' 'week' 'by' 'Taiwanese' 'Vice'
 'President' 'Lien' '.']","[22  6 43 42 30 40 12 22 24 35 37 17 16 21  6 38 40 15 12 21 35 22 12 21
 15 22 22 22 22  7]","[11  0 11 21 22 22 11 12 12 21 22 11 12 12  0 21 22 13 11 12 13 11 11 12
 13 11 12 12 12  0]",[5 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 7 0 0 1 0]
37,['China' 'says' 'time' 'right' 'for' 'Taiwan' 'talks' '.'],[22 42 21 30 15 22 24  7],[11 21 11  3 13 11 12  0],[5 0 0 0 0 5 0 0]
38,['BEIJING' '1996-08-22'],[39 11],[21 11],[5 0]
39,"['China' 'has' 'said' 'it' 'was' 'time' 'for' 'political' 'talks' 'with'
 'Taiwan' 'and' 'that' 'the' 'rival' 'island' 'should' 'take' 'practical'
 'steps' 'towards' 'that' 'goal' '.']",[22 42 38 28 38 21 15 16 24 15 22 10 15 12 16 21 20 37 16 24 15 12 21  7],[11 21 22 11 21 11 13 11 12 13 11  0 17 11 12 12 21 22 11 12 13 11 12  0],[5 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0]
40,"['Consultations' 'should' 'be' 'held' 'to' 'set' 'the' 'time' 'and'
 'format' 'of' 'the' 'talks' ',' 'the' 'official' 'Xinhua' 'news' 'agency'
 'quoted' 'Tang' 'Shubei' ',' 'executive' 'vice' 'chairman' 'of' 'the'
 'Association' 'for' 'Relations' 'Across' 'the' 'Taiwan' 'Straits' ','
 'as' 'saying' 'late' 'on' 'Wednesday' '.']","[24 20 37 40 35 37 12 21 10 21 15 12 24  6 12 21 22 21 21 40 22 22  6 16
 21 21 15 12 22 15 22 15 12 22 22  6 15 39 30 30 22  7]","[11 21 22 22 21 22 11 12 12 12 13 11 12  0 11 12 12 12 12 21 11 12  0 11
 12 12 13 11 12 13 11 13 11 12 12  0 13 21 11  3 11  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 2 0 0 0 0 0 0 3 4 4 4 4 4 4 0 0
 0 0 0 0 0]"
41,['German' 'July' 'car' 'registrations' 'up' '14.2' 'pct' 'yr' '/' 'yr' '.'],[22 22 21 24 30 11 16 21 34 21  7],[11 12 12 12  3 11 12 12  0 11  0],[7 0 0 0 0 0 0 0 0 0 0]
42,['FRANKFURT' '1996-08-22'],[22 11],[11 12],[5 0]
43,"['German' 'first-time' 'registrations' 'of' 'motor' 'vehicles' 'jumped'
 '14.2' 'percent' 'in' 'July' 'this' 'year' 'from' 'the' 'year-earlier'
 'period' ',' 'the' 'Federal' 'office' 'for' 'motor' 'vehicles' 'said'
 'on' 'Thursday' '.']","[16 16 24 15 21 24 38 11 21 15 22 12 21 15 12 16 21  6 12 22 21 15 21 24
 38 15 22  7]","[11 12 12 13 11 12 21 11 12 13 11 11 12 13 11 12 12  0 11 12 12 13 11 12
 21 13 11  0]",[7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 4 0 0 0 0]
44,"['The' 'office' 'said' '356,725' 'new' 'cars' 'were' 'registered' 'in'
 'July' '1996' '--' '304,850' 'passenger' 'cars' 'and' '15,613' 'trucks'
 '.']",[12 21 38 11 16 24 38 40 15 22 11  8 11 21 24 10 11 24  7],[11 12 21 11 12 12 21 22 13 11 12  0 11 12 12  0 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
45,"['The' 'figures' 'represent' 'a' '13.6' 'percent' 'increase' 'for'
 'passenger' 'cars' 'and' 'a' '2.2' 'percent' 'decline' 'for' 'trucks'
 'from' 'July' '1995' '.']",[12 24 41 12 11 21 21 15 21 24 10 12 11 21 21 15 24 15 22 11  7],[11 12 21 11 12 12 12 13 11 12  0 11 12 12 12 13 11 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
46,"['Motor-bike' 'registration' 'rose' '32.7' 'percent' 'in' 'the' 'period'
 '.']",[16 21 38 11 21 15 12 21  7],[11 12 21 11 12 13 11 12  0],[0 0 0 0 0 0 0 0 0]
47,"['The' 'growth' 'was' 'partly' 'due' 'to' 'an' 'increased' 'number' 'of'
 'Germans' 'buying' 'German' 'cars' 'abroad' ',' 'while' 'manufacturers'
 'said' 'that' 'domestic' 'demand' 'was' 'weak' ',' 'the' 'federal'
 'office' 'said' '.']","[12 21 38 30 16 35 12 40 21 15 23 39 16 24 30  6 15 24 38 12 16 21 38 16
  6 12 16 21 38  7]","[11 12 21 22 22 22 11 12 12 13 11 21 11 12  3  0 17 11 21 11 12 12 21  1
  0 11 12 12 21  0]",[0 0 0 0 0 0 0 0 0 0 7 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
48,"['Almost' 'all' 'German' 'car' 'manufacturers' 'posted' 'gains' 'in'
 'registration' 'numbers' 'in' 'the' 'period' '.']",[30 12 16 21 24 38 24 15 21 24 15 12 21  7],[11 12 12 12 12 21 11 13 11 12 13 11 12  0],[0 0 7 0 0 0 0 0 0 0 0 0 0 0]
49,"['Volkswagen' 'AG' 'won' '77,719' 'registrations' ',' 'slightly' 'more'
 'than' 'a' 'quarter' 'of' 'the' 'total' '.']",[22 22 38 11 24  6 30 31 15 12 21 15 12 21  7],[11 12 21 11 12  0 11 12 12 12 12 13 11 12  0],[3 4 0 0 0 0 0 0 0 0 0 0 0 0 0]
50,"['Opel' 'AG' 'together' 'with' 'General' 'Motors' 'came' 'in' 'second'
 'place' 'with' '49,269' 'registrations' ',' '16.4' 'percent' 'of' 'the'
 'overall' 'figure' '.']",[22 22 30 15 22 23 38 15 16 21 15 11 24  6 11 21 15 12 16 21  7],[11 12  3 13 11 12 21 13 11 12 13 11 12  0 11 12 13 11 12 12  0],[3 4 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
51,"['Third' 'was' 'Ford' 'with' '35,563' 'registrations' ',' 'or' '11.7'
 'percent' '.']",[16 38 22 15 11 24  6 10 11 21  7],[11 21 11 13 11 12  0  0 11 12  0],[0 0 3 0 0 0 0 0 0 0 0]
52,"['Only' 'Seat' 'and' 'Porsche' 'had' 'fewer' 'registrations' 'in' 'July'
 '1996' 'compared' 'to' 'last' 'year' ""'s"" 'July' '.']",[30 22 10 22 38 17 24 15 22 11 40 35 16 21 27 22  7],[11 12 12 12 21 11 12 13 11 12 13 13 11 12 11 12  0],[0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0]
53,"['Seat' 'posted' '3,420' 'registrations' 'compared' 'with' '5522'
 'registrations' 'in' 'July' 'a' 'year' 'earlier' '.']",[21 38 11 24 40 15 11 24 15 22 12 21 31  7],[11 21 11 12 13 13 11 12 13 11 11 12  3  0],[3 0 0 0 0 0 0 0 0 0 0 0 0 0]
54,"['Porsche' ""'s"" 'registrations' 'fell' 'to' '554' 'from' '643' '.']",[22 27 24 38 35 11 15 11  7],[11 11 12 21 13 11 13 11  0],[3 0 0 0 0 0 0 0 0]
55,"['GREEK' 'SOCIALISTS' 'GIVE' 'GREEN' 'LIGHT' 'TO' 'PM' 'FOR' 'ELECTIONS'
 '.']",[16 24 41 22 22 35 22 15 24  7],[11 12 21 11 12 13 11 13 11  0],[7 0 0 0 0 0 0 0 0 0]
56,['ATHENS' '1996-08-22'],[24 11],[11 12],[5 0]
