id,tokens,pos_tags,chunk_tags,ner_tags
26,"['Cuttitta' ',' 'who' 'trainer' 'George' 'Coste' 'said' 'was' 'certain'
 'to' 'play' 'on' 'Saturday' 'week' ',' 'was' 'named' 'in' 'a' '21-man'
 'squad' 'lacking' 'only' 'two' 'of' 'the' 'team' 'beaten' '54-21' 'by'
 'England' 'at' 'Twickenham' 'last' 'month' '.']","[22  6 44 21 22 22 38 38 16 35 37 15 22 21  6 38 40 15 12 16 21 39 30 11
 15 12 21 40 16 15 22 15 22 16 21  7]","[11  0 11 12 12 12 21 21  1 21 22 13 11 12  0 21 22 13 11 12 12 21 11 12
 13 11 12 21  1 13 11 13 11 11 12  0]",[1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 0 0 0]
27,"['Stefano' 'Bordon' 'is' 'out' 'through' 'illness' 'and' 'Coste' 'said'
 'he' 'had' 'dropped' 'back' 'row' 'Corrado' 'Covi' ',' 'who' 'had' 'been'
 'recalled' 'for' 'the' 'England' 'game' 'after' 'five' 'years' 'out' 'of'
 'the' 'national' 'team' '.']","[22 22 42 33 15 21 10 22 38 28 38 40 30 21 22 22  6 44 38 40 38 15 12 22
 21 15 11 24 15 15 12 16 21  7]","[11 12 21 15 13 11  0 11 21 11 21 22  3 11 11 12  0 11 21 22 21 13 11 12
 12 13 11 12 13 13 11 12 12  0]",[1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0]
28,"['Cuttitta' 'announced' 'his' 'retirement' 'after' 'the' '1995' 'World'
 'Cup' ',' 'where' 'he' 'took' 'issue' 'with' 'being' 'dropped' 'from'
 'the' 'Italy' 'side' 'that' 'faced' 'England' 'in' 'the' 'pool' 'stages'
 '.']","[22 38 29 21 15 12 11 22 22  6 46 28 38 21 15 39 40 15 12 22 21 43 38 22
 15 12 21 24  7]","[11 21 11 12 13 11 12 12 12  0  3 11 21 11 13 21 22 13 11 12 12 11 21 11
 13 11 12 12  0]",[1 0 0 0 0 0 7 8 8 0 0 0 0 0 0 0 0 0 0 5 0 0 0 5 0 0 0 0 0]
29,"['Coste' 'said' 'he' 'had' 'approached' 'the' 'player' 'two' 'months'
 'ago' 'about' 'a' 'comeback' '.']",[22 38 28 38 40 12 21 11 24 30 30 12 21  7],[11 21 11 21 22 11 12 11 12  3 11 12 12  0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0]
30,"['""' 'He' 'ended' 'the' 'World' 'Cup' 'on' 'the' 'wrong' 'note' ',' '""'
 'Coste' 'said' '.']",[ 0 28 38 12 22 22 15 12 16 21  6  0 22 38  7],[ 0 11 21 11 12 12 13 11 12 12  0  0 11 21  0],[0 0 0 0 7 8 0 0 0 0 0 0 1 0 0]
31,"['""' 'I' 'thought' 'it' 'would' 'be' 'useful' 'to' 'have' 'him' 'back'
 'and' 'he' 'said' 'he' 'would' 'be' 'available' '.']",[ 0 28 38 28 20 37 16 35 37 28 30 10 28 38 28 20 37 16  7],[ 0 11 21 11 21 22  1 21 22 11  3  0 11 21 11 21 22  1  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
32,"['I' 'think' 'now' 'is' 'the' 'right' 'time' 'for' 'him' 'to' 'return' '.'
 '""']",[28 41 30 42 12 16 21 15 28 35 37  7  0],[11 21 22 22 11 12 12 17 11 21 22  0  0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
33,"['Squad' ':' 'Javier' 'Pertile' ',' 'Paolo' 'Vaccari' ',' 'Marcello'
 'Cuttitta' ',' 'Ivan' 'Francescato' ',' 'Leandro' 'Manteri' ',' 'Diego'
 'Dominguez' ',' 'Francesco' 'Mazzariol' ',' 'Alessandro' 'Troncon' ','
 'Orazio' 'Arancio' ',' 'Andrea' 'Sgorlon' ',' 'Massimo' 'Giovanelli' ','
 'Carlo' 'Checchinato' ',' 'Walter' 'Cristofoletto' ',' 'Franco'
 'Properzi' 'Curti' ',' 'Carlo' 'Orlandi' ',' 'Massimo' 'Cuttitta' ','
 'Giambatista' 'Croci' ',' 'Gianluca' 'Guidi' ',' 'Nicola' 'Mazzucato' ','
 'Alessandro' 'Moscardi' ',' 'Andrea' 'Castellani' '.']","[37  8 22 22  6 22 22  6 22 22  6 22 22  6 22 22  6 22 22  6 22 22  6 22
 22  6 22 22  6 22 22  6 22 22  6 22 22  6 22 22  6 22 22 22  6 22 22  6
 22 22  6 22 22  6 22 22  6 22 22  6 22 22  6 22 22  7]","[21  0 11 12  0 11 12  0 11 12  0 11 12  0 11 12  0 11 12  0 11 12  0 11
 12  0 11 12  0 11 12  0 11 12  0 11 12  0 11 12  0 11 12 12  0 11 12  0
 11 12  0 11 12  0 11 12  0 11 12  0 11 12  0 11 12  0]","[0 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2
 0 1 2 0 1 2 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0 1 2 0]"
34,['SOCCER' '-' 'LATE' 'GOALS' 'GIVE' 'JAPAN' 'WIN' 'OVER' 'SYRIA' '.'],[21  8 16 24 41 22 22 15 22  7],[11  0 11 12 21 11 12 13 11  0],[0 0 0 0 0 5 0 0 5 0]
35,"['AL-AIN' ',' 'United' 'Arab' 'Emirates' '1996-12-06']",[22  6 22 22 23 11],[11  0 11 12 12 12],[5 0 5 6 6 0]
36,"['Two' 'goals' 'in' 'the' 'last' 'six' 'minutes' 'gave' 'holders' 'Japan'
 'an' 'uninspiring' '2-1' 'Asian' 'Cup' 'victory' 'over' 'Syria' 'on'
 'Friday' '.']",[11 24 15 12 16 11 24 38 24 22 12 16 11 22 22 21 15 22 15 22  7],[11 12 13 11 12 12 12 21 11 12 11 12 12 12 12 12 13 11 13 11  0],[0 0 0 0 0 0 0 0 0 5 0 0 0 7 8 0 0 5 0 0 0]
37,"['Takuya' 'Takagi' 'headed' 'the' 'winner' 'in' 'the' '88th' 'minute' 'of'
 'the' 'group' 'C' 'game' 'after' 'goalkeeper' 'Salem' 'Bitar' 'spoiled'
 'a' 'mistake-free' 'display' 'by' 'allowing' 'the' 'ball' 'to' 'slip'
 'under' 'his' 'body' '.']","[22 22 38 12 21 15 12 16 21 15 12 21 22 21 15 21 22 22 16 12 21 21 15 39
 12 21 35 37 15 29 21  7]","[11 12 21 11 12 13 11 12 12 13 11 12 12 12 13 11 12 12 12 12 12 12 13 21
 11 12 21 22 13 11 12  0]",[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
38,"['It' 'was' 'the' 'second' 'Syrian' 'defensive' 'blunder' 'in' 'four'
 'minutes' '.']",[28 38 12 16 16 16 21 15 11 24  7],[11 21 11 12 12 12 12 13 11 12  0],[0 0 0 0 7 0 0 0 0 0 0]
39,"['Defender' 'Hassan' 'Abbas' 'rose' 'to' 'intercept' 'a' 'long' 'ball'
 'into' 'the' 'area' 'in' 'the' '84th' 'minute' 'but' 'only' 'managed'
 'to' 'divert' 'it' 'into' 'the' 'top' 'corner' 'of' 'Bitar' ""'s"" 'goal'
 '.']","[22 22 22 38 35 37 12 16 21 15 12 21 15 12 16 21 10 30 38 35 37 28 15 12
 16 21 15 21 27 21  7]","[11 12 12 21 22 22 11 12 12 13 11 12 13 11 12 12  0  3 21 22 22 11 13 11
 12 12 13 11 11 12  0]",[0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
40,"['Syria' 'had' 'taken' 'the' 'lead' 'from' 'their' 'first' 'serious'
 'attack' 'in' 'the' 'seventh' 'minute' '.']",[22 38 40 12 21 15 29 16 16 21 15 12 16 21  7],[11 21 22 11 12 13 11 12 12 12 13 11 12 12  0],[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
41,"['Nader' 'Jokhadar' 'headed' 'a' 'cross' 'from' 'the' 'right' 'by' 'Ammar'
 'Awad' 'into' 'the' 'top' 'right' 'corner' 'of' 'Kenichi' 'Shimokawa'
 ""'s"" 'goal' '.']",[22 22 38 12 21 15 12 21 15 22 22 15 12 16 21 21 15 22 22 27 21  7],[11 12 21 11 12 13 11 12 13 11 12 13 11 12 12 12 13 11 12 11 12  0],[1 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 2 0 0 0]
42,"['Japan' 'then' 'laid' 'siege' 'to' 'the' 'Syrian' 'penalty' 'area' 'and'
 'had' 'a' 'goal' 'disallowed' 'for' 'offside' 'in' 'the' '16th' 'minute'
 '.']",[22 30 38 21 35 12 16 21 21 10 38 12 21 38 15 21 15 12 16 21  7],[11  3 21 11 13 11 12 12 12  0 21 11 12 21 13  3 13 11 12 12  0],[5 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
43,"['A' 'minute' 'later' ',' 'Bitar' 'produced' 'a' 'good' 'double' 'save'
 ',' 'first' 'from' 'Kazuyoshi' 'Miura' ""'s"" 'header' 'and' 'then'
 'blocked' 'a' 'Takagi' 'follow-up' 'shot' '.']","[12 21 30  6 21 38 12 16 16 37  6 16 15 22 22 27 21 10 30 40 12 22 16 21
  7]","[11 12  3  0 11 21 11 12 12 21  0 11 13 11 12 11 12  0 21 22 11 12 12 12
  0]",[0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0]
44,"['Bitar' 'saved' 'well' 'again' 'from' 'Miura' 'in' 'the' '37th' 'minute'
 ',' 'parrying' 'away' 'his' 'header' 'from' 'a' 'corner' '.']",[16 16 21 30 15 22 15 12 16 21  6 39 30 29 21 15 12 21  7],[11 12 12  3 13 11 13 11 12 12  0 21  3 11 12 13 11 12  0],[1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
45,"['Japan' 'started' 'the' 'second' 'half' 'brightly' 'but' 'Bitar' 'denied'
 'them' 'an' 'equaliser' 'when' 'he' 'dived' 'to' 'his' 'right' 'to'
 'save' 'Naoki' 'Soma' ""'s"" 'low' 'drive' 'in' 'the' '53rd' 'minute' '.']","[22 38 12 16 21 30 10 22 38 28 12 21 46 28 38 35 29 21 35 37 22 22 27 16
 21 15 12 11 21  7]","[11 21 11 12 12  3  0 11 21 11 11 12  3 11 21 13 11 12 21 22 11 12 11 12
 12 13 11 12 12  0]",[5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0]
46,"['Japan' ':' '19' '-' 'Kenichi' 'Shimokawa' ',' '2' '-' 'Hiroshige'
 'Yanagimoto' ',' '3' '-' 'Naoki' 'Soma' ',' '4' '-' 'Masami' 'Ihara' ','
 '5' '-' 'Norio' 'Omura' ',' '6' '-' 'Motohiro' 'Yamaguchi' ',' '8' '-'
 'Masakiyo' 'Maezono' '(' '7' '-' 'Yasuto' 'Honda' '71' ')' ',' '9' '-'
 'Takuya' 'Takagi' ',' '10' '-' 'Hiroshi' 'Nanami' ',' '11' '-'
 'Kazuyoshi' 'Miura' ',' '15' '-' 'Hiroaki' 'Morishima' '(' '14' '-'
 'Masayuki' 'Okano' '75' ')' '.']","[22  8 11  8 22 22  6 11  8 22 22  6 11  8 22 22  6 11  8 22 22  6 11  8
 22 22  6 11  8 22 22  6 11  8 22 22  4 11  8 22 22 11  5  6 11  8 22 22
  6 11  8 22 22  6 11  8 22 22  6 11  8 22 22  4 11  8 22 22 11  5  7]","[11  0 11 12 12 12  0 11 12 12 12  0 11 12 11 12  0 11 12 12 12  0 11 12
 12 12  0 11 12 12 12  0 11 12 12 12  0 11 12 12 12 12  0  0 11 12 12 12
  0 11 12 12 12  0 11 12 12 12  0 11 12 12 12  0 11 12 12 12 12  0  0]","[5 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0
 0 0 1 2 0 0 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0]"
47,"['Syria' ':' '24' '-' 'Salem' 'Bitar' ',' '3' '-' 'Bachar' 'Srour' ';' '4'
 '-' 'Hassan' 'Abbas' ',' '5' '-' 'Tarek' 'Jabban' ',' '6' '-' 'Ammar'
 'Awad' '(' '9' '-' 'Louay' 'Taleb' '69' ')' ',' '8' '-' 'Nihad'
 'al-Boushi' ',' '10' '-' 'Mohammed' 'Afash' ',' '12' '-' 'Ali' 'Dib' ','
 '13' '-' 'Abdul' 'Latif' 'Helou' '(' '17' '-' 'Ammar' 'Rihawiy' '46' ')'
 ',' '14' '-' 'Khaled' 'Zaher' ';' '16' '-' 'Nader' 'Jokhadar' '.']","[22  8 11  8 22 22  6 11  8 22 22  8 11  8 22 22  6 11  8 22 22  6 11  8
 22 22  4 11  8 16 22 11  5  6 11  8 22 24  6 11  8 22 22  6 11  8 22 22
  6 11  8 22 22 22  4 11  8 22 22 11  5  6 11  8 38 22  8 11  8 22 22  7]","[11  0 11 12 12 12  0 11 12 12 12  0 11 12 12 12  0 11 12 12 12  0 11 12
 12 12  0 11 12 12 12 12  0  0 11 12 12 12  0 11 12 12 12  0 11 12 12 12
  0 11 12 12 12 12  0 11 12 12 12 12  0  0 11 12 21 11  0 11 12 12 12  0]","[5 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 0 0 1
 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 2 0 0 0 1 2 0 0 0 0 0 1 2 0 0 0 1 2 0]"
48,['FREESTYLE' 'SKIING-WORLD' 'CUP' 'MOGUL' 'RESULTS' '.'],[22 22 22 22 24  7],[11 12 12 12 12  0],[0 7 8 0 0 0]
49,"['TIGNES' ',' 'France' '1996-12-06']",[22  6 22 11],[11  0 11 12],[5 0 5 0]
50,['Results' 'of' 'the' 'World' 'Cup'],[24 15 12 22 22],[11 13 11 12 12],[0 0 0 7 8]
51,['freestyle' 'skiing' 'moguls' 'competition' 'on' 'Friday' ':'],[16 21 24 21 15 22  8],[11 12 12 12 13 11  0],[0 0 0 0 0 0 0]
52,['Men'],[21],[11],[0]
53,['1.' 'Jesper' 'Ronnback' '(' 'Sweden' ')' '25.76' 'points'],[11 22 22  4 22  5 11 24],[11 12 12  0 11  0 11 12],[0 1 2 0 5 0 0 0]
54,['2.' 'Andrei' 'Ivanov' '(' 'Russia' ')' '24.88'],[11 22 22  4 22  5 11],[11 11 12  0 11  0 11],[0 1 2 0 5 0 0]
55,['3.' 'Ryan' 'Johnson' '(' 'Canada' ')' '24.57'],[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
56,['4.' 'Jean-Luc' 'Brassard' '(' 'Canada' ')' '24.40'],[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
57,['5.' 'Korneilus' 'Hole' '(' 'Norway' ')' '23.92'],[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
58,['6.' 'Jeremie' 'Collomb-Patton' '(' 'France' ')' '23.87'],[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
59,['7.' 'Jim' 'Moran' '(' 'U.S.' ')' '23.25'],[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
60,['8.' 'Dominick' 'Gauthier' '(' 'Canada' ')' '22.73'],[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
61,['9.' 'Johann' 'Gregoire' '(' 'France' ')' '22.58'],[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
62,['10.' 'Troy' 'Benson' '(' 'U.S.' ')' '22.56'],[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
63,['Women'],[24],[11],[0]
64,['1.' 'Tatjana' 'Mittermayer' '(' 'Germany' ')' '24.32'],[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
65,['2.' 'Candice' 'Gilg' '(' 'France' ')' '24.31'],[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
66,['3.' 'Minna' 'Karhu' '(' 'Finland' ')' '24.05'],[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
67,['4.' 'Tae' 'Satoya' '(' 'Japan' ')' '23.75'],[11 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
68,['5.' 'Ann' 'Battellle' '(' 'U.S.' ')' '23.56'],[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
69,['6.' 'Donna' 'Weinbrecht' '(' 'U.S.' ')' '22.48'],[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
70,['7.' 'Liz' 'McIntyre' '(' 'U.S.' ')' '22.00'],[22 22 22  4 22  5 11],[11 12 12  0 11  0 11],[0 1 2 0 5 0 0]
